Animal,Extinction Frame,SSIM Index,Final state check,Initial Entropy,Final Entropy,params
Pyroscutium arcus pedes,-1,0.9712409467930633,stable,0.10392006163848141,0.09986705574427748,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.331, 's': 0.0543}"
Pyroscutium ambiguus,-1,0.9691167504253124,stable,0.09776223824917527,0.10643387948585703,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.349, 's': 0.0605}"
Synptera serratus arcus pedes,-1,0.9650725874088267,stable,0.1083927510058997,0.1106060739607713,"{'R': 10, 'T': 10, 'b': '1/2,1', 'm': 0.31, 's': 0.055}"
Synptera serratus cavus labens,-1,0.9659324308266988,stable,0.10426625887748611,0.10514572080409072,"{'R': 10, 'T': 10, 'b': '1/2,1', 'm': 0.27, 's': 0.047}"
Synptera serratus cavus saliens,-1,0.9678256220184704,stable,0.0935158245226982,0.09986358985297959,"{'R': 10, 'T': 10, 'b': '1/2,1', 'm': 0.25, 's': 0.038}"
Synptera serratus sinus labens,-1,0.9702075790081851,stable,0.0914816133065025,0.08995553379482886,"{'R': 10, 'T': 10, 'b': '1/2,1', 'm': 0.24, 's': 0.037}"
Synptera serratus sinus pedes,-1,0.9628108422482748,stable,0.1086182059180656,0.10621046385011587,"{'R': 10, 'T': 10, 'b': '1/12,1/2,1', 'm': 0.24, 's': 0.038}"
Pyroscutium ambiguus serratus,-1,0.9600556385843915,stable,0.1227511860642511,0.16578029895034513,"{'R': 13, 'T': 10, 'b': '5/12,1,1/2', 'm': 0.304, 's': 0.046}"
Paraptera arcus labens,-1,0.9613119477980644,stable,0.1331986688264595,0.13819733706132792,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.357, 's': 0.059}"
Paraptera arcus saliens,-1,0.9582024234118252,stable,0.13756410906258415,0.14640617196906527,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.33, 's': 0.0565}"
Paraptera arcus saliens ignis,-1,0.962815040868547,stable,0.11074382217497733,0.1333215269805801,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.313, 's': 0.05}"
Paraptera arcus pedes,-1,0.9559416615760428,stable,0.15035868691515267,0.15766640755025516,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.362, 's': 0.0665}"
Paraptera cavus labens,-1,0.9648871924996035,stable,0.11763823289399518,0.12057612029698919,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.329, 's': 0.0481}"
Paraptera cavus salien,-1,0.9651841892689541,stable,0.10299730388942312,0.10380308430427834,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.261, 's': 0.0372}"
Paraptera cavus pedes,-1,0.9649362492498533,stable,0.11544620736859998,0.11752144012815774,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.301, 's': 0.0454}"
Paraptera cavus furiosus,-1,0.966265050082125,stable,0.10925423330750365,0.10983071888532833,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.297, 's': 0.0405}"
Paraptera orbis pedes,-1,0.9642765900390645,stable,0.10705045334480087,0.11039078233476429,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.246, 's': 0.037}"
Paraptera orbis furiosus,-1,0.9677538875002167,stable,0.10091755811498325,0.09958782352877109,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.235, 's': 0.0323}"
Paraptera sinus labens,119,,,0.11449121718720649,,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.33, 's': 0.0462}"
Paraptera sinus pedes,-1,0.9643311640596017,stable,0.10787810389183923,0.11305925317858978,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.313, 's': 0.041}"
Paraptera ambiguus,479,,,0.14189022982315416,,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.374, 's': 0.0675}"
Paraptera serratus arcus saliens,-1,0.9603827810424441,stable,0.13106855909040427,0.147242963110125,"{'R': 10, 'T': 10, 'b': '1/2,1', 'm': 0.34, 's': 0.059}"
Pentapteryx arcus labens,-1,0.9515211840942612,stable,0.1690897771865714,0.17271577623689544,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.373, 's': 0.0645}"
Pentapteryx arcus saliens,-1,0.9457339835425161,stable,0.18606708601433627,0.18931763861166295,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.348, 's': 0.0631}"
Pentapteryx arcus pedes,-1,0.21366695159156665,soup,0.1901221037666928,1.8677860876124528,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.32, 's': 0.0567}"
Pentapteryx cavus labens,141,,,0.14265623856046097,,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.34, 's': 0.05}"
Pentapteryx cavus saliens,-1,0.9545340742446196,stable,0.14761035711849388,0.14691427111714056,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.298, 's': 0.0469}"
Pentapteryx cavus pedes,-1,0.9509996139453591,stable,0.15613446502051462,0.16568023952722072,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.322, 's': 0.0531}"
Pentapteryx cavus furiosus,-1,0.9574337007754743,stable,0.13223784068899094,0.1360287122015793,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.285, 's': 0.0408}"
Pentapteryx arcus valvatus,401,,,0.17506634129642984,,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.383, 's': 0.0695}"
