Animal,Extinction Frame,SSIM Index,Final state check,Initial Entropy,Final Entropy
Crucium crux ventilans,-1,0.38250655704372194,soup,0.13048632524675843,1.3114186546088382
Crucium,-1,0.9284985076972978,stable,0.2201227789255071,0.22326455760443556
Crucium,-1,0.9338027943911933,stable,0.2201227789255071,0.18753253962017122
Triradium lithos,-1,0.9979412683152826,stable,0.11726753548290447,0.12119665273920145
Triradium gyrans,153,,,0.14625041060874708,
Triradium rotans,-1,0.9748425394127953,stable,0.164064943191149,0.164732209383014
Triradium ventilans,-1,0.9755041139490422,stable,0.17034932991471283,0.17543292163585927
Triradium limus,-1,0.9678981278182416,stable,0.17785506308029692,0.16680994153069573
Hexaradium solidus,-1,0.9378742053966851,stable,0.14821396030331413,0.14773827341009366
Hexaradium valvatus,-1,0.939045047812382,stable,0.1475641223268264,0.14860193716124456
Hexaradium lithos,-1,0.997654484701398,stable,0.11776985833018247,0.11855505249599066
Tetrastrium rotans,-1,0.9975919940510132,stable,0.15885246005173126,0.1621468180004024
Astrium solidus,-1,0.9447000577613032,stable,0.15483258977910203,0.1572113607949791
Astrium limus,-1,0.946462262207989,stable,0.15265747982018316,0.1571672334765108
Astrium rotans,-1,0.9791935995426292,stable,0.1468315043722822,0.14648523891441945
Astrium scintillans,-1,0.9636479333050405,stable,0.18971890199393235,0.21993271606317785
Astrium inversus,-1,0.9626318736478008,stable,0.1726795360207627,0.20380862563891924
Astrium reversus,-1,0.9411531824516591,stable,0.1719577023188018,0.17446284673210033
Astrium solidus,-1,0.9305095458932201,stable,0.15483258977910203,0.22600285430225892
Astrium currens,-1,0.9141162720047639,stable,0.20040895861207447,0.2094365488704694
Astrium rotans,10,,,0.1468315043722822,
Astrium rotans,-1,0.3891387540912139,soup,0.1468315043722822,1.295466953792721
Astrium nausia,-1,0.9456354646020881,stable,0.2296408959264733,0.2260026244365342
Hexastrium,-1,0.9452065453664975,stable,0.11669773179778459,0.1225230628807875
Hexastrium rotans,-1,0.965965833193103,stable,0.14615098279173017,0.14866015305092647
Hexastrium,13,,,0.11669773179778459,
Quadrium solidus,-1,0.9323674799691615,stable,0.15326031914000712,0.15490709763629765
Quadrium minus,-1,0.9405727562315261,stable,0.1346030201178617,0.13778981162215148
Quadrium gyrans,-1,0.9343974759001153,stable,0.15793128348078228,0.15933793817440906
Quadrium vagus,-1,0.9457987695641951,stable,0.1471313497023207,0.131403542964445
Cumulocircium lithos,-1,0.999182050848638,stable,0.02586751494930209,0.028859348433167942
Cumulocircium scintillans,-1,0.9315103805596954,stable,0.3171024669315367,0.12292528497708594
Cumulocircium scintillans,-1,0.33589178611565207,soup,0.3171024669315367,1.1838812521867885
Cumulocircium lithos,10,,,0.02586751494930209,
Cumulocircium scintillans,-1,0.936460901463818,stable,0.3171024669315367,0.16984622552533582
Cumulocircium lithos,10,,,0.02586751494930209,
Dicircium inversus,-1,0.9970198864546397,stable,0.062056877360502534,0.06214293140931986
Dicircium rotans,-1,0.9979895679034682,stable,0.04715294215001204,0.0461590371775232
Dicircium limus,-1,0.9967958708673248,stable,0.05651914751363819,0.057642306175673425
Tricircium inversus,-1,0.9918227401384156,stable,0.0534995215315276,0.06268386834535809
Tricircium rotans,-1,0.9992718026500882,stable,0.050448199116872226,0.048852411380220534
Tricircium torquens,-1,0.9929608142011774,stable,0.05048994346328133,0.04758158720654401
Tricircium vagus,-1,0.9937653860492321,stable,0.05078785771856013,0.045994917010949925
Tricircium rotans,18,,,0.050448199116872226,
Tetrcircium torquens,-1,0.996374260714831,stable,0.0448208075362845,0.03937661068901195
Tetrcircium lithos,-1,0.9989847411190725,stable,0.03300942197204573,0.032524074573571184
Pentcircium rotans,-1,0.9880693558725073,stable,0.0803351813671074,0.07992533419707513
Pentcircium inversus,-1,0.9908136699229496,stable,0.07777131996857783,0.07635870317841442
Hexcircium inversus,-1,0.9879255915702959,stable,0.08933505218727651,0.10413582374964311
Heptcircium lithos,-1,0.9984662747719624,stable,0.09710009611812784,0.0944931440124356
