Animal,MSE,SSIM
Kronium solidus,0.0023785799313214874,0.9895304694482805
Kronium solidus,0.0023785799313214874,0.9895304694482805
Kronium saliens,0.002946234339707084,0.9883752738936255
Gyrokronium,0.00216172373418577,0.9886680594331456
Argentokronium,0.0027817360285106695,0.9869717243882122
Ferrokronium solidus,0.008804339462972361,0.9714711442418134
Ferrokronium valvatus centrale,0.1052654516929786,0.6513325877477242
Ferrokronium valvatus laterale,0.1272868570207692,0.6019140003723115
Ferrokronium tardus,0.005975508640381705,0.9858185339509291
Ferrokronium circularis,0.2175213738414846,0.4225220057168547
Ferrokronium solidus,0.028665038694755257,0.9097813209860692
Ferrokronium saliens,0.004770583373131729,0.9866554934503599
Aurokronium arcus,0.004373378262342008,0.982665577599951
Aurokronium cavus,0.003248883063680435,0.9841795036071929
Synkronium arcus,0.005017210928489042,0.9815456405673989
Synkronium cavus,0.0039489893929768585,0.9818740148107304
Florakronium arcus,0.005496777831843522,0.9808555967271853
Florakronium cavus,0.004359166058427047,0.9816445274048781
Allikronium,0.005935529322406045,0.9769692917307035
Parakronium arcus,0.00590210195597847,0.9779250548583035
Parakronium cavus,0.005332013415813631,0.9767023011553203
Pentakronium arcus,0.007474462618418999,0.9722991286196357
Pentakronium cavus,0.006361034705702133,0.9728000391637739
Hexakronium arcus,0.008552885073874831,0.9680057961224569
Hexakronium cavus,0.006386935810820959,0.9714309675589969
Heptakronium arcus,0.009735102963328407,0.9635466601687225
Tetracaudokronium cavus,0.0065645927009743855,0.9742205759328086
Pentacaudokronium cavus,0.007394603478454801,0.9699514193799705
Hexacaudokronium cavus,0.008086311079272396,0.9650626157160997
Catenokronium cinguli,0.017583600095215784,0.9395299692627854
Tetravolvium,0.003327829140234524,0.9856460432421559
Hexavolvium,0.005262603935760885,0.9810707863402442
Hexavolvium resiliens,0.005566932358497934,0.9797482298858209
Hexavolvium ulterior,0.005701297465217703,0.9811802261836565
Crucium arcus,0.007860911133563414,0.9774222338656111
Crucium arcus valvatus,0.006025286905126635,0.9790200481747264
Crucium arcus anulus,0.009198846578689687,0.9779688146146879
Crucium arcus vagus,0.005849943062013408,0.9810034411647249
Crucium arcus vagus,0.005849943062013408,0.9810034411647249
Crucium arcus gyrans,0.006858805620134085,0.9800291095786366
Crucium cavus,0.006526545576295776,0.9806434347849178
Crucium cavus anulus,0.009053270339232509,0.9803864842789369
Crucium crux,0.009983110321525976,0.9778584258779329
Crucium crux rotans,0.009555308082753629,0.9772478269001833
Crucium crux ventilans,0.009039929898506582,0.9790882872664622
Crucium crux ventilans,0.009039929898506582,0.9790882872664622
Crucium,0.018857850834114284,0.9642665032176843
Crucium,0.018857850834114284,0.9642665032176843
Triradium lithos,0.014415637070928246,0.9733926846258036
Triradium gyrans,0.012421237662497597,0.9726020734586832
Triradium rotans,0.012701328252655228,0.9714595416614467
Triradium ventilans,0.009852325662380455,0.9717971960878179
Triradium limus,0.014421047399888262,0.9703231188881284
Hexaradium solidus,0.009389097455005288,0.9688366290383741
