Animal,MSE,SSIM
Spinogeminium solidus,0.10270039014433975,0.5576568822985095
Spinogeminium limus,0.04505736657951109,0.7888029590891638
Gyrogeminium velox,0.12419629672753259,0.5018475979897673
Gyrogeminium tardus,0.08900595950449502,0.6320493088648166
Gyrogeminium serratus,0.19008935207813968,0.26748390436212616
Circogeminium ventilans,0.018905636364831613,0.948896116327571
Kronium solidus,0.006414137903736154,0.9728629433087223
Kronium tardus,0.002828989666182646,0.9909173101696844
Kronium vagus,0.0052024316687291905,0.9751659238040726
Kronium saliens,0.00522168361905905,0.9797108824899255
Kronium limus,0.10529288596728333,0.5575818987482979
Kronium dividuus,0.03306396905954803,0.8707072526635421
Kronium solidus,0.008432455074421826,0.9653197946587964
Kronium solidus,0.005196228616660651,0.9779971911214465
Kronium saliens,0.005030235877790436,0.9805514850941212
Gyrokronium,0.02137113935709055,0.9073554844354231
Argentokronium,0.0031338730975020044,0.9853622530047181
Ferrokronium solidus,0.014267010918967288,0.9506552146148057
Ferrokronium valvatus centrale,0.09294950299730018,0.6283789549415179
Ferrokronium valvatus laterale,0.08570288972588463,0.6706466083787771
Ferrokronium tardus,0.005222674821682614,0.9862491212593365
Ferrokronium circularis,0.0033173616105660253,0.9886074314168674
Ferrokronium solidus,0.014358563420295286,0.9505926334787802
Ferrokronium saliens,0.005605139106917147,0.983708438726319
Aurokronium arcus,0.047034326063148266,0.8385865912131513
Aurokronium cavus,0.01719040894565134,0.9259683660378264
Synkronium arcus,0.0053935233952944785,0.9801630433311279
Synkronium cavus,0.006942621369126582,0.9706229416667737
Florakronium arcus,0.0222219526518095,0.9291963654339987
Florakronium cavus,0.005657046117178103,0.9781861449955324
Allikronium,0.06480938975142683,0.7391991744911172
Parakronium arcus,0.010682400264912444,0.9640039894669643
Parakronium cavus,0.04566154586194948,0.83299049953751
Pentakronium arcus,0.025704520217153304,0.9192132238558804
Pentakronium cavus,0.03457231538853358,0.8785335053808286
Hexakronium arcus,0.041055408090332035,0.8717583298973743
Hexakronium cavus,0.02896355511544554,0.8947602113317932
Heptakronium arcus,0.05358486712438138,0.8334942427814513
Tetracaudokronium cavus,0.025591893398382925,0.9117146972804534
Pentacaudokronium cavus,0.027777049773659045,0.9025731788222079
Hexacaudokronium cavus,0.01863535270608858,0.9294810680830285
Catenokronium cinguli,0.036896684906413395,0.8902571458744847
Tetravolvium,0.008331456037552918,0.9667626880058067
Hexavolvium,0.005326075334639085,0.9809162173771536
Hexavolvium resiliens,0.018256672455574045,0.9409195231687344
Hexavolvium ulterior,0.01255767593187421,0.9601460656811599
Crucium arcus,0.009452570529474395,0.9722916634640001
