Animal,Extinction Frame,Final state check,Initial Entropy,Final Entropy,params
Helicium arcus pedes,-1,stable,0.10438979855947167,0.10971327674693074,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.3, 's': 0.0505}"
Helicium cavus pedes,-1,soup,0.08976104603849465,1.288977528085689,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.22, 's': 0.034}"
Helicium serratus ocellus,-1,stable,0.10504208706347973,0.10671626534604316,"{'R': 10, 'T': 10, 'b': '1/2,1', 'm': 0.31, 's': 0.048}"
Helicium serratus velox,-1,stable,0.10498376649261604,0.10581105661328412,"{'R': 10, 'T': 10, 'b': '1/2,1', 'm': 0.29, 's': 0.047}"
Helicium serratus turbulentus,-1,stable,0.10639766859416831,0.10075247249963462,"{'R': 18, 'T': 10, 'b': '1/4,1/2,3/4,1', 'm': 0.2, 's': 0.02}"
Helicium serratus turbulentus,13,,0.10639766859416831,,"{'R': 18, 'T': 10, 'b': '1/4,1/2,3/4,1', 'm': 0.2, 's': 0.02}"
Helicium serratus turbulentus,15,,0.10639766859416831,,"{'R': 18, 'T': 10, 'b': '1/4,1/2,3/4,1', 'm': 0.2, 's': 0.02}"
Pentahelicium solidus,360,,0.1494202034782192,,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.35, 's': 0.048}"
Pentahelicium ignis,-1,stable,0.16093203963762612,0.16529685577287523,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.32, 's': 0.039}"
Pentahelicium serratus limus,-1,stable,0.16427052768720768,0.1651337599914676,"{'R': 10, 'T': 10, 'b': '1/2,1', 'm': 0.37, 's': 0.06}"
Heptahelicium solidus,-1,stable,0.2357243879022309,0.23380439574300718,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.38, 's': 0.055}"
Heptahelicium ignis,-1,stable,0.24486342954610787,0.25520396678307916,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.37, 's': 0.053}"
Heptahelicium serratus limus,-1,stable,0.23286217172033083,0.2356352143795915,"{'R': 10, 'T': 10, 'b': '1/2,1', 'm': 0.37, 's': 0.058}"
Nonahelicium solidus,-1,stable,0.3477700541173302,0.3546438669660734,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.4, 's': 0.063}"
Nonahelicium ignis,-1,stable,0.30128399874997464,0.3184614805755896,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.372, 's': 0.0496}"
Nonahelicium serratus,-1,stable,0.27804973811088823,0.2720734202216737,"{'R': 10, 'T': 10, 'b': '1/2,1', 'm': 0.39, 's': 0.064}"
Tetrahelicium(?),124,,0.15494597831658674,,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.372, 's': 0.0575}"
Tetrahelicium serratus,-1,stable,0.12103462340100961,0.027207923450542067,"{'R': 10, 'T': 10, 'b': '1/2,1', 'm': 0.36, 's': 0.058}"
Tetrahelicium serratus fractus,-1,stable,0.12164232472331292,0.1216541884878724,"{'R': 10, 'T': 10, 'b': '1/2,1', 'm': 0.31, 's': 0.047}"
Tetrahelicium serratus turbulentus,-1,stable,0.11983371379479787,0.11891887728988491,"{'R': 10, 'T': 10, 'b': '1/2,1', 'm': 0.29, 's': 0.043}"
Hexahelicium solidus,225,,0.20078920358428337,,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.37, 's': 0.05}"
Hexahelicium ignis,-1,stable,0.20464076173797485,0.2104936338041771,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.35, 's': 0.0445}"
Hexahelicium serratus,-1,stable,0.18826445093631494,0.19154230321057886,"{'R': 10, 'T': 10, 'b': '1/2,1', 'm': 0.39, 's': 0.067}"
Octahelicium,-1,soup,0.2684298901963997,1.158521224594397,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.38, 's': 0.055}"
Octahelicium serratus,-1,stable,0.29302598211477315,0.2911303392136289,"{'R': 10, 'T': 10, 'b': '1/2,1', 'm': 0.37, 's': 0.058}"
Decahelicium,-1,stable,0.34569224562148115,0.3555338880534677,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.41, 's': 0.066}"
Decahelicium serratus,-1,stable,0.3406402003462375,0.3472207544744451,"{'R': 10, 'T': 10, 'b': '1/2,1', 'm': 0.41, 's': 0.07}"
Dodecahelicium limus,-1,stable,0.38883777512265,0.392849297497726,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.42, 's': 0.07}"
Catenohelicium monospirae,-1,soup,0.23681405850138096,0.7734095229079584,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.35, 's': 0.0428}"
Catenohelicium bispirae vacuoides,-1,soup,0.17810637328895423,1.13690913365514,"{'R': 13, 'T': 5, 'b': '1', 'm': 0.33, 's': 0.047}"
Catenohelicium bispirae scutoides,-1,soup,0.18597675267817917,1.9630311153083158,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.407, 's': 0.0806}"
Circium lithos apertus,-1,stable,0.011369738959806162,0.012831450413168145,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.16, 's': 0.023}"
Circium lithos opertus,-1,stable,0.03687450625387198,0.03687450625387198,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.808, 's': 0.367}"
Circium ventilans,-1,stable,0.032779095918538684,0.028023595336199195,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.38, 's': 0.07}"
Circium ventilans tenuis,-1,stable,0.011079394534441733,0.012842246764634215,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.146, 's': 0.0199}"
Circium ventilans lateralis,106,,0.025242565838681265,,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.275, 's': 0.0357}"
Circium ventilans scintillans,172,,0.02044632234669958,,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.3, 's': 0.0243}"
Circium ventilans cumulans,-1,stable,0.02043818601429869,0.019289214132594473,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.319, 's': 0.0136}"
Circium rupturus,-1,soup,0.023692714114345467,0.6708568713693347,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.079, 's': 0.0107}"
Discutium pachus,-1,soup,0.09839265200741287,1.6261234908857447,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.545, 's': 0.186}"
Trihelicium pachus,-1,soup,0.10776912542034998,1.144842916924967,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.46, 's': 0.119}"
max-fleet,-1,soup,0.8211285109646556,0.8532574459927641,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.337, 's': 0.057}"
Aerogeminium volitans,-1,stable,0.13192541198993393,0.1334845417348633,"{'R': 18, 'T': 10, 'b': '1,11/12', 'm': 0.32, 's': 0.051}"
Aerogeminium ambiguus,-1,stable,0.15002319909953807,0.14564298072109283,"{'R': 18, 'T': 10, 'b': '1,5/6', 'm': 0.29, 's': 0.041}"
Aerogeminium quietus,-1,stable,0.11757490591945895,0.05595900260896584,"{'R': 18, 'T': 10, 'b': '1,1,1', 'm': 0.3, 's': 0.048}"
Aerogeminium labens,-1,stable,0.09903137087978192,0.1040363690736485,"{'R': 18, 'T': 10, 'b': '1,5/6,2/3', 'm': 0.23, 's': 0.026}"
Hydrogeminium limus,-1,soup,0.12722949529975544,0.7956443971850917,"{'R': 18, 'T': 10, 'b': '1,1,1', 'm': 0.26, 's': 0.036}"
Hydrogeminium natans,-1,stable,0.15697199094432443,0.16118142827709211,"{'R': 18, 'T': 10, 'b': '1/2,1,2/3', 'm': 0.26, 's': 0.036}"
Hydrogeminium labens,-1,stable,0.1379669610356448,0.13264374768018541,"{'R': 18, 'T': 10, 'b': '1/2,1,2/3', 'm': 0.31, 's': 0.053}"
Spinogeminium solidus,-1,stable,0.08418600019905426,0.08330157099313162,"{'R': 18, 'T': 10, 'b': '3/4,1,1/2', 'm': 0.216, 's': 0.0252}"
Spinogeminium limus,-1,stable,0.07962811566666417,0.04374216247941753,"{'R': 18, 'T': 10, 'b': '3/4,1,1/2', 'm': 0.195, 's': 0.0198}"
Gyrogeminium velox,-1,stable,0.1906023729814057,0.19017164607935363,"{'R': 18, 'T': 10, 'b': '1,1,1', 'm': 0.25, 's': 0.034}"
Gyrogeminium tardus,-1,stable,0.1800859336253997,0.19413763981979437,"{'R': 18, 'T': 10, 'b': '1,1,1', 'm': 0.27, 's': 0.038}"
Gyrogeminium serratus,-1,stable,0.18359330207694274,0.04598304087161248,"{'R': 18, 'T': 10, 'b': '1/2,1,1/2', 'm': 0.24, 's': 0.03}"
Circogeminium ventilans,-1,stable,0.1954974062217757,0.16609640831935726,"{'R': 18, 'T': 10, 'b': '1,1,1', 'm': 0.29, 's': 0.035}"
Kronium solidus,-1,stable,0.058619688776538885,0.060830428572039484,"{'R': 18, 'T': 10, 'b': '1,1/2,1/2,1', 'm': 0.22, 's': 0.029}"
Kronium tardus,-1,stable,0.05460633582725883,0.04721977892098967,"{'R': 18, 'T': 10, 'b': '1,1/3', 'm': 0.34, 's': 0.062}"
Kronium vagus,-1,stable,0.0626115683971649,0.05800792024335841,"{'R': 18, 'T': 10, 'b': '1,1/3', 'm': 0.22, 's': 0.025}"
Kronium saliens,-1,stable,0.06721513058545601,0.06982122823343971,"{'R': 15, 'T': 10, 'b': '1/2,1/2,1', 'm': 0.23, 's': 0.031}"
Kronium limus,-1,stable,0.08754801899773677,0.08614248094890958,"{'R': 18, 'T': 10, 'b': '5/6,1', 'm': 0.22, 's': 0.03}"
Kronium dividuus,-1,stable,0.06977285228809987,0.07067054436270828,"{'R': 18, 'T': 10, 'b': '1,1/3', 'm': 0.24, 's': 0.03}"
Kronium solidus,-1,stable,0.058619688776538885,0.08441968514719923,"{'R': 18, 'T': 10, 'b': '1,1/2,1/2,1', 'm': 0.22, 's': 0.029}"
