Animal,Extinction Frame,Final state check,Initial Entropy,Final Entropy,params,size,symmetry,circularity,MSE,SSIM,tolerance
Gyropteron serratus velox,-1,stable,0.0662857485468205,0.0670205895423508,"{'R': 18, 'T': 10, 'b': '1/12,1/4,1/2,1', 'm': 0.21, 's': 0.032}",350,0.8888888888888888,0.1415347500645538,0.104647387445093,0.5881244444413102,0.39
Gyropteron serratus turbulentus,-1,stable,0.0555102056787755,0.0174277381479542,"{'R': 10, 'T': 10, 'b': '1/2,1', 'm': 0.21, 's': 0.028}",303,0.9080779944289692,0.2224536269372918,0.0668635521840209,0.6867308012337452,0.2
Synptera cavus saliens,-1,stable,0.0888106145034274,0.0835129613105034,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.26, 's': 0.038}",506,0.9569707401032702,0.1156606572634442,0.1123038552453976,0.6126027856625472,0.39
Synptera cavus pedes,-1,stable,0.0981362181631547,0.3724278838445472,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.238, 's': 0.0398}",556,0.9010654490106544,0.1346330745978269,0.1898562454570818,0.3072321371011748,0.12
Synptera sinus pedes,-1,stable,0.0898015232700538,0.0837162649510925,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.22, 's': 0.034}",508,0.8987341772151899,0.2461524875606314,0.1500423437863448,0.406463579819615,0.28
Pyroscutium arcus pedes,-1,stable,0.1039200616384814,0.0998670557442774,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.331, 's': 0.0543}",589,0.9461663947797716,0.0824289846791501,0.1077585139003743,0.681796992199471,0.06
Pyroscutium ambiguus,-1,stable,0.0977622382491752,0.106433879485857,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.349, 's': 0.0605}",568,0.94824016563147,0.0726245655347424,0.0248917379749946,0.9005636572477203,0.04
Synptera serratus arcus pedes,-1,stable,0.1083927510058997,0.1106060739607713,"{'R': 10, 'T': 10, 'b': '1/2,1', 'm': 0.31, 's': 0.055}",627,0.8718929254302104,0.0811694454903491,0.1371489941195334,0.5936992882576807,0.21
Synptera serratus cavus labens,-1,stable,0.1042662588774861,0.1051457208040907,"{'R': 10, 'T': 10, 'b': '1/2,1', 'm': 0.27, 's': 0.047}",609,0.950381679389313,0.2005785258912532,0.1434496538908133,0.5178273322081884,0.39
Synptera serratus cavus saliens,-1,stable,0.0935158245226982,0.0998635898529795,"{'R': 10, 'T': 10, 'b': '1/2,1', 'm': 0.25, 's': 0.038}",513,0.9514348785871964,0.1375121024035307,0.1026602191289705,0.6169956004666618,0.3
Synptera serratus sinus labens,-1,stable,0.0914816133065025,0.0899555337948288,"{'R': 10, 'T': 10, 'b': '1/2,1', 'm': 0.24, 's': 0.037}",515,0.9173693086003372,0.1739206762818623,0.1191113295652249,0.5368907514780243,0.32
Synptera serratus sinus pedes,-1,stable,0.1086182059180656,0.1062104638501158,"{'R': 10, 'T': 10, 'b': '1/12,1/2,1', 'm': 0.24, 's': 0.038}",626,0.9408672798948752,0.1182348201755665,0.1758990217501221,0.3736575721542126,0.24
