Animal,MSE,SSIM,tolerance
Pentakronium arcus,0.0257045202171533,0.9192132238558804,0.1
Pentakronium cavus,0.0345723153885335,0.8785335053808286,0.15
Hexakronium arcus,0.041055408090332,0.8717583298973743,0.1
Hexakronium cavus,0.0289635551154455,0.8947602113317932,0.1
Heptakronium arcus,0.0535848671243813,0.8334942427814513,0.07
Tetracaudokronium cavus,0.0255918933983829,0.9117146972804534,0.13
Pentacaudokronium cavus,0.027777049773659,0.902573178822208,0.14
Hexacaudokronium cavus,0.0186353527060885,0.9294810680830284,0.12
Catenokronium cinguli,0.0368966849064133,0.8902571458744847,0.05
Tetravolvium,0.0083314560375529,0.9667626880058068,0.04
Hexavolvium,0.005326075334639,0.9809162173771536,0.07
Hexavolvium resiliens,0.018256672455574,0.9409195231687344,0.18
Hexavolvium ulterior,0.0125576759318742,0.96014606568116,0.24
Crucium arcus,0.0094525705294743,0.972291663464,0.43
Crucium arcus valvatus,0.010823287424977,0.9642390652636852,0.25
Crucium arcus anulus,0.0136434576360275,0.9670332219663268,0.43
Crucium arcus vagus,0.0098814273762748,0.9683349020194448,0.28
Crucium arcus vagus,0.0098814273762748,0.9683349020194448,0.28
Crucium arcus vagus,0.0100001774729035,0.9678185229957614,0.28
Crucium arcus vagus,0.0100001774729035,0.9678185229957614,0.28
Crucium arcus gyrans,0.0103907598976889,0.9703233462796156,0.4
Crucium cavus,0.0150109759654982,0.9493015587779664,0.5
Crucium cavus anulus,0.0083299482213269,0.9793780745462904,0.46
Crucium crux,0.0117457579754162,0.9723341398529182,0.51
Crucium crux rotans,0.0058501698193868,0.9803472307599664,0.6
Crucium crux ventilans,0.0097600344700506,0.974633706927328,0.5
Crucium crux ventilans,0.0097600344700506,0.974633706927328,0.5
Crucium crux ventilans,0.0095878241616449,0.9746562860715786,0.5
Crucium crux ventilans,0.0095878241616449,0.9746562860715786,0.5
Crucium,0.0199277020478971,0.9605412071781974,0.65
Crucium,0.0199277020478971,0.9605412071781974,0.65
Crucium,0.0201657523575303,0.9600437930883264,0.65
Crucium,0.0201657523575303,0.9600437930883264,0.65
Triradium lithos,0.0113106194733563,0.9785577515344032,0.61
Triradium gyrans,0.0132251955716773,0.9676523591174714,0.52
Triradium rotans,0.0125971975069863,0.967028383331788,0.69
Triradium ventilans,0.0125636440548473,0.9637427010315154,0.4
Triradium limus,0.0125812852229871,0.9697023879357732,0.72
Hexaradium solidus,0.0161558648037991,0.9500351092849986,0.48
Hexaradium valvatus,0.0191261162835609,0.9558434279277286,0.45
Hexaradium lithos,0.0134650442663773,0.9661439921005388,0.43
Tetrastrium rotans,0.1103421198552881,0.4579766583687592,0.51
Astrium solidus,0.0175610723503786,0.956779419622974,0.65
Astrium solidus,0.0175610723503786,0.956779419622974,0.65
Astrium solidus,0.0178022826536878,0.9563451522505008,0.65
Astrium solidus,0.0178022826536878,0.9563451522505008,0.65
Astrium limus,0.1077426548431327,0.5145417356139276,0.49
Astrium rotans,0.0656459435932099,0.7600526942743443,0.58
Astrium rotans,0.0656459435932099,0.7600526942743443,0.58
Astrium rotans,0.0656459435932099,0.7600526942743443,0.58
Astrium rotans,0.067194387465143,0.7575375881922524,0.58
Astrium rotans,0.067194387465143,0.7575375881922524,0.58
Astrium rotans,0.067194387465143,0.7575375881922524,0.58
Astrium rotans,0.0677958629410877,0.7515573058543811,0.58
Astrium rotans,0.0677958629410877,0.7515573058543811,0.58
Astrium rotans,0.0677958629410877,0.7515573058543811,0.58
Astrium scintillans,0.0139932831920152,0.9680498184058712,0.51
Astrium inversus,0.014354361051271,0.9689056003515196,0.52
Astrium reversus,0.0120752547338194,0.9656712408931124,0.63
Astrium currens,0.0283450060271283,0.9210983631647406,0.83
Astrium nausia,0.0187087734726864,0.9479687108033088,0.61
Hexastrium,0.1376232630743709,0.4494213483540858,0.6
Hexastrium,0.1376232630743709,0.4494213483540858,0.6
Hexastrium,0.1329772266652708,0.4656959019555097,0.6
Hexastrium,0.1329772266652708,0.4656959019555097,0.6
Hexastrium rotans,0.0809015873983969,0.7291349892726269,0.51
Quadrium solidus,0.0123399993168678,0.9561597190467102,0.63
Quadrium minus,0.0133824243377218,0.9492743502692635,0.37
Quadrium gyrans,0.0158313082883858,0.9580610959175186,0.69
Quadrium vagus,0.0086756921074677,0.960285023145206,0.46
Cumulocircium lithos,0.0036436846418719,0.9849148679818592,0.24
Cumulocircium lithos,0.0036436846418719,0.9849148679818592,0.24
Cumulocircium lithos,0.0036436846418719,0.9849148679818592,0.24
Cumulocircium lithos,0.0035856395763265,0.9850489704406928,0.24
Cumulocircium lithos,0.0035856395763265,0.9850489704406928,0.24
Cumulocircium lithos,0.0035856395763265,0.9850489704406928,0.24
Cumulocircium lithos,0.0028192431016444,0.98891866862057,0.24
Cumulocircium lithos,0.0028192431016444,0.98891866862057,0.24
Cumulocircium lithos,0.0028192431016444,0.98891866862057,0.24
Cumulocircium scintillans,0.1606260069366289,0.4930104588829799,0.01
Cumulocircium scintillans,0.1606260069366289,0.4930104588829799,0.01
Cumulocircium scintillans,0.1606260069366289,0.4930104588829799,0.01
Cumulocircium scintillans,0.1528712121594831,0.5166331847667915,0.01
Cumulocircium scintillans,0.1528712121594831,0.5166331847667915,0.01
Cumulocircium scintillans,0.1528712121594831,0.5166331847667915,0.01
